Order_ID,Customer_ID,Date,Age,Gender,City,Product_Category,Unit_Price,Quantity,Discount_Amount,AVG order_value,Total_Amount,Payment_Method,Device_Type,Is_Returning_Customer,Delivery_Time_Days,Customer_Rating,month
ORD_001337,CUST_01337,01-01-2023,27,Female,Bursa,Toys,54.28,1,0,54.28,54.28,Debit Card,Mobile,Yes,8,5,Jan
ORD_004885,CUST_04885,01-01-2023,42,Male,Konya,Toys,244.9,1,0,244.9,244.9,Credit Card,Mobile,Yes,3,3,Jan
ORD_004507,CUST_04507,01-01-2023,43,Female,Ankara,Food,48.15,5,0,48.15,240.75,Credit Card,Mobile,Yes,5,2,Jan
ORD_000645,CUST_00645,01-01-2023,32,Male,Istanbul,Electronics,804.06,1,229.28,574.78,574.78,Credit Card,Mobile,No,1,4,Jan
ORD_000690,CUST_00690,01-01-2023,40,Female,Istanbul,Sports,755.61,5,0,755.61,3778.05,Cash on Delivery,Desktop,Yes,7,4,Jan
ORD_000223,CUST_00223,01-01-2023,43,Female,Istanbul,Beauty,122.46,1,0,122.46,122.46,Credit Card,Mobile,Yes,9,5,Jan
ORD_002506,CUST_02506,01-01-2023,25,Female,Izmir,Electronics,2107.37,2,0,2107.37,4214.74,Digital Wallet,Desktop,No,6,5,Jan
ORD_004540,CUST_04540,01-01-2023,44,Male,Konya,Food,213.64,2,0,213.64,427.28,Credit Card,Mobile,No,3,5,Jan
ORD_001808,CUST_01808,02-01-2023,41,Male,Istanbul,Fashion,257.62,5,62.15,245.19,1225.95,Credit Card,Tablet,No,2,4,Jan
ORD_003413,CUST_03413,02-01-2023,58,Male,Istanbul,Sports,1784.75,4,490.25,1662.19,6648.75,Debit Card,Desktop,Yes,5,4,Jan
ORD_004457,CUST_04457,02-01-2023,21,Female,Istanbul,Electronics,1091.11,1,0,1091.11,1091.11,Cash on Delivery,Mobile,Yes,3,4,Jan
ORD_004797,CUST_04797,02-01-2023,40,Male,Konya,Beauty,77.06,2,15.22,69.45,138.9,Credit Card,Mobile,No,4,3,Jan
ORD_001211,CUST_01211,02-01-2023,20,Female,Bursa,Sports,197.88,3,0,197.88,593.64,Credit Card,Mobile,Yes,3,5,Jan
ORD_000514,CUST_00514,02-01-2023,24,Male,Eskisehir,Home & Garden,897.02,5,0,897.02,4485.1,Digital Wallet,Desktop,Yes,8,4,Jan
ORD_003462,CUST_03462,02-01-2023,57,Female,Istanbul,Books,37.19,4,8.76,35,140,Credit Card,Desktop,No,5,5,Jan
ORD_001418,CUST_01418,02-01-2023,38,Male,Istanbul,Food,41.21,1,0,41.21,41.21,Digital Wallet,Desktop,No,5,5,Jan
ORD_000198,CUST_00198,02-01-2023,36,Male,Istanbul,Books,81.91,1,0,81.91,81.91,Credit Card,Mobile,Yes,6,4,Jan
ORD_000374,CUST_00374,02-01-2023,46,Female,Bursa,Sports,431.85,1,0,431.85,431.85,Debit Card,Mobile,Yes,6,4,Jan
ORD_003204,CUST_03204,03-01-2023,50,Female,Ankara,Sports,696.98,1,100.24,596.74,596.74,Debit Card,Desktop,Yes,14,5,Jan
ORD_004204,CUST_04204,03-01-2023,23,Male,Bursa,Electronics,1837.61,2,156.33,1759.45,3518.89,Credit Card,Desktop,Yes,9,4,Jan
ORD_000751,CUST_00751,03-01-2023,23,Female,Antalya,Food,22.64,1,1.65,20.99,20.99,Credit Card,Tablet,Yes,3,4,Jan
ORD_002466,CUST_02466,03-01-2023,45,Male,Istanbul,Electronics,930.97,1,190.12,740.85,740.85,Credit Card,Desktop,Yes,2,4,Jan
ORD_003920,CUST_03920,03-01-2023,34,Male,Kayseri,Fashion,181.48,1,0,181.48,181.48,Digital Wallet,Mobile,No,6,4,Jan
ORD_000038,CUST_00038,04-01-2023,18,Female,Izmir,Beauty,78.21,5,0,78.21,391.05,Digital Wallet,Mobile,No,8,4,Jan
ORD_003721,CUST_03721,04-01-2023,46,Male,Istanbul,Electronics,4136.98,5,1137.7,3909.44,19547.2,Debit Card,Mobile,Yes,8,5,Jan
ORD_002069,CUST_02069,04-01-2023,52,Male,Ankara,Sports,240.87,2,36.98,222.38,444.76,Debit Card,Mobile,No,8,5,Jan
ORD_002080,CUST_02080,04-01-2023,29,Male,Izmir,Electronics,443.53,1,0,443.53,443.53,Debit Card,Mobile,No,4,5,Jan
ORD_000285,CUST_00285,04-01-2023,60,Male,Bursa,Home & Garden,912.21,4,63.68,896.29,3585.16,Bank Transfer,Mobile,Yes,4,5,Jan
ORD_000846,CUST_00846,04-01-2023,40,Male,Konya,Home & Garden,1375.1,2,0,1375.1,2750.2,Debit Card,Mobile,No,9,5,Jan
ORD_003744,CUST_03744,04-01-2023,37,Female,Ankara,Home & Garden,453.05,3,61.33,432.61,1297.82,Digital Wallet,Mobile,Yes,3,5,Jan
ORD_003991,CUST_03991,04-01-2023,18,Male,Antalya,Sports,288.26,4,0,288.26,1153.04,Credit Card,Desktop,Yes,14,2,Jan
ORD_003301,CUST_03301,04-01-2023,39,Female,Ankara,Home & Garden,724.61,2,74.6,687.31,1374.62,Credit Card,Desktop,No,17,5,Jan
ORD_004873,CUST_04873,04-01-2023,20,Male,Antalya,Books,37.68,1,0,37.68,37.68,Credit Card,Desktop,Yes,3,4,Jan
ORD_002003,CUST_02003,04-01-2023,25,Male,Ankara,Electronics,1148.64,1,0,1148.64,1148.64,Credit Card,Mobile,No,10,5,Jan
ORD_003730,CUST_03730,05-01-2023,18,Female,Antalya,Sports,544.6,1,0,544.6,544.6,Credit Card,Desktop,Yes,13,2,Jan
ORD_001602,CUST_01602,05-01-2023,51,Female,Istanbul,Beauty,131.04,5,0,131.04,655.2,Debit Card,Desktop,No,8,5,Jan
ORD_000477,CUST_00477,05-01-2023,41,Male,Istanbul,Toys,181.88,1,26.42,155.46,155.46,Bank Transfer,Mobile,Yes,9,5,Jan
ORD_002957,CUST_02957,05-01-2023,46,Female,Istanbul,Books,46.09,4,0,46.09,184.36,Debit Card,Desktop,Yes,17,4,Jan
ORD_001565,CUST_01565,05-01-2023,43,Female,Konya,Toys,280.4,2,0,280.4,560.8,Digital Wallet,Tablet,Yes,3,3,Jan
ORD_000527,CUST_00527,05-01-2023,18,Female,Gaziantep,Fashion,746.9,1,0,746.9,746.9,Credit Card,Mobile,Yes,8,5,Jan
ORD_004551,CUST_04551,05-01-2023,51,Male,Antalya,Fashion,129.16,1,14.33,114.83,114.83,Credit Card,Desktop,Yes,6,5,Jan
ORD_004850,CUST_04850,05-01-2023,40,Other,Antalya,Books,21.87,2,0,21.87,43.74,Credit Card,Mobile,No,8,4,Jan
ORD_000450,CUST_00450,05-01-2023,22,Female,Konya,Books,77.6,1,10.69,66.91,66.91,Cash on Delivery,Mobile,Yes,1,4,Jan
ORD_003803,CUST_03803,05-01-2023,20,Female,Ankara,Electronics,1624.97,1,0,1624.97,1624.97,Credit Card,Desktop,No,5,4,Jan
ORD_004585,CUST_04585,05-01-2023,32,Female,Konya,Beauty,101.55,2,0,101.55,203.1,Debit Card,Mobile,Yes,6,3,Jan
ORD_003246,CUST_03246,05-01-2023,44,Female,Istanbul,Home & Garden,530.65,1,0,530.65,530.65,Credit Card,Mobile,Yes,11,4,Jan
ORD_004291,CUST_04291,05-01-2023,41,Female,Bursa,Home & Garden,182.14,1,32.66,149.48,149.48,Debit Card,Desktop,No,2,5,Jan
ORD_004550,CUST_04550,05-01-2023,32,Female,Istanbul,Home & Garden,153.87,4,0,153.87,615.48,Credit Card,Desktop,Yes,8,4,Jan
ORD_004883,CUST_04883,05-01-2023,24,Male,Eskisehir,Food,103.15,4,0,103.15,412.6,Digital Wallet,Mobile,Yes,8,5,Jan
ORD_000182,CUST_00182,06-01-2023,24,Female,Istanbul,Electronics,164.61,1,28.42,136.19,136.19,Credit Card,Mobile,Yes,7,4,Jan
ORD_004113,CUST_04113,06-01-2023,53,Male,Izmir,Sports,326.33,1,0,326.33,326.33,Bank Transfer,Mobile,No,3,4,Jan
ORD_004744,CUST_04744,06-01-2023,39,Female,Istanbul,Books,44.85,1,0,44.85,44.85,Credit Card,Mobile,Yes,3,5,Jan
ORD_001054,CUST_01054,06-01-2023,38,Male,Ankara,Beauty,51.32,1,0,51.32,51.32,Credit Card,Tablet,Yes,9,5,Jan
ORD_003313,CUST_03313,06-01-2023,60,Female,Gaziantep,Home & Garden,533.72,5,0,533.72,2668.6,Credit Card,Desktop,No,4,4,Jan
ORD_003948,CUST_03948,07-01-2023,40,Female,Izmir,Fashion,216.82,2,0,216.82,433.64,Debit Card,Mobile,Yes,3,3,Jan
ORD_000991,CUST_00991,07-01-2023,37,Male,Gaziantep,Sports,117.12,2,31.05,101.6,203.19,Cash on Delivery,Mobile,Yes,7,4,Jan
ORD_004801,CUST_04801,07-01-2023,41,Male,Izmir,Home & Garden,1016.3,2,0,1016.3,2032.6,Credit Card,Mobile,Yes,6,3,Jan
ORD_001144,CUST_01144,07-01-2023,36,Male,Istanbul,Books,109.93,1,0,109.93,109.93,Bank Transfer,Mobile,Yes,6,5,Jan
ORD_004740,CUST_04740,07-01-2023,43,Female,Istanbul,Home & Garden,1228.33,2,0,1228.33,2456.66,Bank Transfer,Desktop,Yes,11,1,Jan
ORD_004656,CUST_04656,07-01-2023,60,Female,Ankara,Electronics,674.39,2,100.41,624.19,1248.37,Digital Wallet,Mobile,No,11,3,Jan
ORD_003748,CUST_03748,07-01-2023,37,Female,Istanbul,Sports,118.37,2,0,118.37,236.74,Credit Card,Mobile,Yes,2,2,Jan
ORD_003622,CUST_03622,08-01-2023,39,Female,Gaziantep,Food,145.58,1,25.45,120.13,120.13,Debit Card,Desktop,No,3,4,Jan
ORD_001373,CUST_01373,08-01-2023,18,Female,Izmir,Fashion,53.25,1,2.71,50.54,50.54,Credit Card,Mobile,Yes,11,5,Jan
ORD_004676,CUST_04676,08-01-2023,23,Female,Ankara,Beauty,74.51,3,0,74.51,223.53,Cash on Delivery,Desktop,Yes,5,4,Jan
ORD_001127,CUST_01127,08-01-2023,38,Female,Eskisehir,Sports,536.13,1,0,536.13,536.13,Credit Card,Desktop,No,5,4,Jan
ORD_003274,CUST_03274,08-01-2023,43,Female,Adana,Electronics,484.14,2,0,484.14,968.28,Debit Card,Mobile,No,3,5,Jan
ORD_001822,CUST_01822,08-01-2023,35,Male,Istanbul,Toys,154.14,2,0,154.14,308.28,Debit Card,Tablet,No,10,3,Jan
ORD_000359,CUST_00359,08-01-2023,38,Female,Ankara,Beauty,94.59,3,0,94.59,283.77,Cash on Delivery,Mobile,Yes,2,4,Jan
ORD_001477,CUST_01477,08-01-2023,33,Male,Ankara,Books,71.42,3,0,71.42,214.26,Cash on Delivery,Tablet,Yes,3,5,Jan
ORD_001690,CUST_01690,08-01-2023,31,Male,Istanbul,Home & Garden,246.03,4,0,246.03,984.12,Bank Transfer,Desktop,No,11,4,Jan
ORD_003755,CUST_03755,09-01-2023,26,Male,Istanbul,Beauty,41.21,1,0,41.21,41.21,Credit Card,Desktop,Yes,4,3,Jan
ORD_003743,CUST_03743,09-01-2023,38,Male,Istanbul,Sports,371.2,5,0,371.2,1856,Digital Wallet,Mobile,Yes,4,5,Jan
ORD_004501,CUST_04501,09-01-2023,23,Female,Konya,Sports,402.95,3,0,402.95,1208.85,Credit Card,Mobile,Yes,4,4,Jan
ORD_002535,CUST_02535,09-01-2023,29,Female,Gaziantep,Fashion,370.25,1,0,370.25,370.25,Digital Wallet,Mobile,Yes,8,5,Jan
ORD_003836,CUST_03836,09-01-2023,30,Male,Istanbul,Fashion,165.99,2,21.55,155.22,310.43,Bank Transfer,Mobile,No,6,3,Jan
ORD_003039,CUST_03039,09-01-2023,23,Male,Kayseri,Food,23.55,2,2.11,22.5,44.99,Credit Card,Mobile,No,3,3,Jan
ORD_002497,CUST_02497,09-01-2023,31,Female,Antalya,Beauty,105.69,1,14,91.69,91.69,Bank Transfer,Desktop,Yes,8,4,Jan
ORD_003749,CUST_03749,09-01-2023,52,Male,Istanbul,Electronics,476.38,1,68.97,407.41,407.41,Digital Wallet,Desktop,No,2,5,Jan
ORD_004673,CUST_04673,09-01-2023,40,Female,Bursa,Sports,476.23,3,0,476.23,1428.69,Credit Card,Desktop,No,6,5,Jan
ORD_001072,CUST_01072,09-01-2023,40,Female,Istanbul,Sports,450.42,2,0,450.42,900.84,Digital Wallet,Mobile,No,4,5,Jan
ORD_003669,CUST_03669,09-01-2023,33,Male,Istanbul,Food,32.92,1,0,32.92,32.92,Credit Card,Tablet,No,9,5,Jan
ORD_001829,CUST_01829,09-01-2023,33,Male,Ankara,Toys,131.77,2,26.14,118.7,237.4,Credit Card,Mobile,Yes,1,5,Jan
ORD_003491,CUST_03491,09-01-2023,31,Male,Izmir,Sports,105.36,5,0,105.36,526.8,Debit Card,Mobile,Yes,4,2,Jan
ORD_003083,CUST_03083,10-01-2023,18,Female,Eskisehir,Electronics,1652.27,1,317.69,1334.58,1334.58,Digital Wallet,Desktop,Yes,11,4,Jan
ORD_000227,CUST_00227,10-01-2023,35,Male,Konya,Food,78.19,1,0,78.19,78.19,Digital Wallet,Mobile,Yes,3,5,Jan
ORD_002321,CUST_02321,10-01-2023,40,Female,Ankara,Toys,103.02,1,0,103.02,103.02,Debit Card,Mobile,Yes,7,5,Jan
ORD_002468,CUST_02468,10-01-2023,35,Other,Izmir,Sports,480.97,1,0,480.97,480.97,Digital Wallet,Desktop,Yes,5,4,Jan
ORD_002102,CUST_02102,10-01-2023,24,Male,Adana,Sports,428.98,1,0,428.98,428.98,Credit Card,Mobile,No,4,3,Jan
ORD_000912,CUST_00912,10-01-2023,37,Female,Istanbul,Food,86.39,3,6.36,84.27,252.81,Credit Card,Mobile,Yes,8,5,Jan
ORD_001284,CUST_01284,11-01-2023,46,Male,Antalya,Beauty,54.43,3,5.89,52.47,157.4,Credit Card,Tablet,Yes,3,3,Jan
ORD_000839,CUST_00839,11-01-2023,46,Male,Antalya,Toys,275.71,1,64.61,211.1,211.1,Credit Card,Desktop,Yes,7,4,Jan
ORD_002117,CUST_02117,11-01-2023,32,Female,Konya,Books,53.31,1,9.04,44.27,44.27,Debit Card,Desktop,Yes,7,5,Jan
ORD_002525,CUST_02525,11-01-2023,46,Female,Ankara,Beauty,97.74,1,0,97.74,97.74,Credit Card,Desktop,Yes,8,5,Jan
ORD_000279,CUST_00279,11-01-2023,35,Male,Istanbul,Sports,1148.11,1,0,1148.11,1148.11,Digital Wallet,Mobile,No,12,5,Jan
ORD_001784,CUST_01784,11-01-2023,44,Female,Istanbul,Toys,160.45,3,12.05,156.43,469.3,Digital Wallet,Mobile,Yes,4,4,Jan
ORD_000928,CUST_00928,11-01-2023,39,Male,Istanbul,Beauty,41.11,1,0,41.11,41.11,Credit Card,Desktop,Yes,15,4,Jan
ORD_001597,CUST_01597,12-01-2023,42,Female,Bursa,Toys,185.71,4,54.51,172.08,688.33,Digital Wallet,Mobile,No,3,5,Jan
ORD_003464,CUST_03464,12-01-2023,47,Female,Adana,Toys,434.12,1,0,434.12,434.12,Credit Card,Desktop,No,9,4,Jan
ORD_004168,CUST_04168,12-01-2023,32,Male,Kayseri,Electronics,1860.25,1,119.5,1740.75,1740.75,Credit Card,Mobile,No,6,4,Jan
ORD_002937,CUST_02937,12-01-2023,27,Female,Istanbul,Fashion,673.1,2,143.61,601.3,1202.59,Bank Transfer,Mobile,No,5,2,Jan
ORD_003409,CUST_03409,12-01-2023,32,Male,Istanbul,Electronics,785.15,1,66.97,718.18,718.18,Credit Card,Mobile,No,8,5,Jan
ORD_000729,CUST_00729,13-01-2023,28,Male,Kayseri,Beauty,82.07,2,0,82.07,164.14,Digital Wallet,Mobile,No,4,2,Jan
ORD_004875,CUST_04875,13-01-2023,27,Male,Eskisehir,Sports,581.31,3,158.19,528.58,1585.74,Bank Transfer,Mobile,Yes,9,3,Jan
ORD_001709,CUST_01709,13-01-2023,33,Male,Izmir,Food,86.32,1,0,86.32,86.32,Debit Card,Desktop,Yes,3,5,Jan
ORD_004136,CUST_04136,13-01-2023,30,Female,Adana,Home & Garden,549.57,1,70.35,479.22,479.22,Digital Wallet,Mobile,Yes,8,4,Jan
ORD_000568,CUST_00568,13-01-2023,22,Female,Izmir,Electronics,2111.57,3,0,2111.57,6334.71,Bank Transfer,Tablet,No,3,2,Jan
ORD_000601,CUST_00601,13-01-2023,44,Male,Gaziantep,Electronics,952.19,1,0,952.19,952.19,Debit Card,Mobile,Yes,3,2,Jan
ORD_000003,CUST_00003,13-01-2023,42,Male,Konya,Food,66.44,1,0,66.44,66.44,Debit Card,Desktop,No,3,5,Jan
ORD_000024,CUST_00024,14-01-2023,18,Female,Bursa,Sports,79.59,1,0,79.59,79.59,Bank Transfer,Mobile,No,4,3,Jan
ORD_000955,CUST_00955,14-01-2023,34,Female,Izmir,Books,33.9,1,0,33.9,33.9,Credit Card,Mobile,Yes,5,5,Jan
ORD_004628,CUST_04628,14-01-2023,26,Male,Ankara,Toys,199.67,1,53.91,145.76,145.76,Credit Card,Tablet,No,7,1,Jan
ORD_000880,CUST_00880,14-01-2023,49,Female,Izmir,Home & Garden,301.9,1,0,301.9,301.9,Digital Wallet,Mobile,Yes,3,4,Jan
ORD_001820,CUST_01820,14-01-2023,23,Male,Istanbul,Beauty,34.14,5,0,34.14,170.7,Credit Card,Mobile,Yes,3,5,Jan
ORD_002701,CUST_02701,14-01-2023,39,Male,Ankara,Food,81.79,1,0,81.79,81.79,Credit Card,Mobile,Yes,2,4,Jan
ORD_001989,CUST_01989,14-01-2023,27,Male,Antalya,Fashion,479.68,3,0,479.68,1439.04,Debit Card,Mobile,Yes,4,5,Jan
ORD_003052,CUST_03052,14-01-2023,26,Male,Antalya,Fashion,96.62,2,19.5,86.87,173.74,Cash on Delivery,Desktop,No,5,3,Jan
ORD_004043,CUST_04043,14-01-2023,18,Female,Gaziantep,Toys,106.13,1,0,106.13,106.13,Debit Card,Desktop,Yes,5,5,Jan
ORD_002433,CUST_02433,14-01-2023,34,Male,Adana,Beauty,66.28,2,0,66.28,132.56,Credit Card,Mobile,Yes,3,5,Jan
ORD_002759,CUST_02759,14-01-2023,21,Female,Antalya,Sports,349.71,2,57.46,320.98,641.96,Digital Wallet,Mobile,No,4,4,Jan
ORD_003937,CUST_03937,14-01-2023,49,Female,Ankara,Books,29.41,1,0,29.41,29.41,Debit Card,Desktop,No,3,4,Jan
ORD_001276,CUST_01276,14-01-2023,36,Male,Istanbul,Books,47.45,1,0,47.45,47.45,Credit Card,Desktop,Yes,4,4,Jan
ORD_000885,CUST_00885,14-01-2023,43,Female,Istanbul,Sports,666.91,1,0,666.91,666.91,Debit Card,Mobile,Yes,5,3,Jan
ORD_000866,CUST_00866,15-01-2023,30,Male,Gaziantep,Books,74.72,1,0,74.72,74.72,Credit Card,Tablet,Yes,7,5,Jan
ORD_001995,CUST_01995,15-01-2023,39,Female,Istanbul,Food,33.52,2,0,33.52,67.04,Cash on Delivery,Mobile,No,4,2,Jan
